"제품명","브랜드명","카테고리","효능","전성분","가격","용량","링크","유해성_점수"
"아쿠아 오아시스 토너","에스네이처","스킨/토너","보습;진정","정제수;다이프로필렌글라이콜;부틸렌글라이콜;글리세린;1,2-헥산다이올;베타인;판테놀;알란토인;파파야열매추출물;글루코노락톤;자일리틸글루코사이드;안하이드로자일리톨;자일리톨;소듐하이알루로네이트;글루코오스;파파인;하이드록시프로필트라이모늄하이알루로네이트;소듐아세틸레이티드하이알루로네이트;하이드롤라이즈드하이알루로닉애씨드;하이알루로닉애씨드;하이드롤라이즈드소듐하이알루로네이트;소듐하이알루로네이트크로스폴리머;포타슘하이알루로네이트;글리세릴아크릴레이트/아크릴릭애씨드코폴리머;피브이엠/엠에이코폴리머","25000","300ml","https://www.hwahae.co.kr/goods/%EC%97%90%EC%8A%A4%EB%84%A4%EC%9D%B4%EC%B2%98-%EC%95%84%EC%BF%A0%EC%95%84-%EC%98%A4%EC%95%84%EC%8B%9C%EC%8A%A4-%ED%86%A0%EB%84%88-300ml-%EB%8D%94%EB%B8%94-%EA%B8%B0%ED%9A%8D-%ED%86%A0%EB%84%88PLUS%ED%86%A0%EB%84%88PLUS%ED%99%94%EC%9E%A5%EC%86%9C/26143?goods_tab=review_ingredients","1.090909090909091"
"1025 독도 토너","라운드랩","스킨/토너","보습;진정;모공/피지","정제수;부틸렌글라이콜;글리세린;펜틸렌글라이콜;프로판다이올;아이리쉬모스추출물;사탕수수추출물;해수;1,2-헥산다이올;프로테아제;베타인;판테놀;에틸헥실글리세린;알란토인;잔탄검;다이소듐이디티에이","15000","200ml","https://www.hwahae.co.kr/goods/%EB%9D%BC%EC%9A%B4%EB%93%9C%EB%9E%A9-1025-%EB%8F%85%EB%8F%84-%ED%86%A0%EB%84%88-500ml/34633?goods_tab=review_ingredients","1.285714285714286"
"원더 세라마이드 모찌 토너","토니모리","스킨/토너","보습;진정","정제수;다이프로필렌글라이콜;글리세린;펜타에리스리틸테트라아이소스테아레이트;글리세레스-26;1,2-헥산다이올;마카다미아씨오일(구명칭);페닐트라이메티콘;하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머;스타이렌/브이피코폴리머;에틸헥실글리세린;병풀추출물;아크릴레이트/C10-30알킬아크릴레이트크로스폴리머;트로메타민;카프릴릭/카프릭트라이글리세라이드;알란토인;하이드로제네이티드레시틴;프로판다이올;판테놀;피토스테릴/옥틸도데실라우로일글루타메이트;세라마이드엔피;소듐하이알루로네이트;로즈우드오일;레몬껍질오일;다이소듐이디티에이;리날룰;리모넨","17000","500ml","https://www.hwahae.co.kr/goods/%ED%86%A0%EB%8B%88%EB%AA%A8%EB%A6%AC-%EC%9B%90%EB%8D%94-%EC%84%B8%EB%9D%BC%EB%A7%88%EC%9D%B4%EB%93%9C-%EB%AA%A8%EC%B0%8C-%ED%86%A0%EB%84%88-500ml/27380?goods_tab=review_ingredients","1.428571428571429"
"다이브인 저분자 히알루론산 토너","토리든","스킨/토너","보습;진정","정제수;부틸렌글라이콜;다이프로필렌글라이콜;1,2-헥산다이올;글리세린;베타인;알란토인;판테놀;쇠비름추출물;트레할로오스;소듐하이알루로네이트;하이드롤라이즈드하이알루로닉애씨드(100ppm);소듐하이알루로네이트크로스폴리머;하이드롤라이즈드소듐하이알루로네이트;소듐아세틸레이티드하이알루로네이트;2,3-부탄다이올;펜틸렌글라이콜;말라카이트추출물;다이소듐이디티에이;에틸헥실글리세린","21000","300ml","https://www.hwahae.co.kr/goods/%ED%86%A0%EB%A6%AC%EB%93%A0-%EB%8B%A4%EC%9D%B4%EB%B8%8C%EC%9D%B8-%EC%A0%80%EB%B6%84%EC%9E%90-%ED%9E%88%EC%95%8C%EB%A3%A8%EB%A1%A0%EC%82%B0-%ED%86%A0%EB%84%88-300ml-%EB%8D%94%EB%B8%94%EA%B8%B0%ED%9A%8D-PLUS%EC%88%98%EB%94%A9%ED%81%AC%EB%A6%BC-20-ml/69574?goods_tab=review_ingredients","1.222222222222222"
"초저분자 히아루론산 토너","이즈앤트리","스킨/토너","보습;진정","정제수;메틸프로판다이올;1,2-헥산다이올;해수;글리세린;베타인;알란토인;부틸렌글라이콜;카프릴릴글라이콜;에틸헥실글리세린;판테놀;잔탄검;말라카이트추출물;다이소듐이디티에이;하이드롤라이즈드하이알루로닉애씨드;펜틸렌글라이콜;자일리틸글루코사이드;안하이드로자일리톨;소듐하이알루로네이트;자일리톨;포타슘하이알루로네이트;글루코오스;다이메틸실란올하이알루로네이트;소듐아세틸레이티드하이알루로네이트;소듐하이알루로네이트크로스폴리머;하이드록시프로필트라이모늄하이알루로네이트;하이드롤라이즈드소듐하이알루로네이트;하이드롤라이즈드칼슘하이알루로네이트;하이알루로닉애씨드;버지니아풍년화추출물;소듐설페이티드하이알루로네이트;편백잎추출물;소듐스테아로일하이알루로네이트;소듐올레오일하이알루로네이트","21000","300ml","https://www.hwahae.co.kr/goods/%EC%9D%B4%EC%A6%88%EC%95%A4%ED%8A%B8%EB%A6%AC-%EC%B4%88%EC%A0%80%EB%B6%84%EC%9E%90-%ED%9E%88%EC%95%84%EB%A3%A8%EB%A1%A0%EC%82%B0-%ED%86%A0%EB%84%88-%EA%B8%B0%ED%9A%8D-300ml-%EB%B3%B8%ED%92%88PLUS200ml-%EB%A6%AC%ED%95%84PLUS%EB%AF%B8%EC%8A%A4%ED%8A%B8%ED%8E%8C%ED%94%84/62479?goods_tab=review_ingredients","1.103448275862069"
"판테놀 베리어 토너","코스노리","스킨/토너","보습;진정","정제수;부틸렌글라이콜;판테놀;다이프로필렌글라이콜;글리세레스-26;나이아신아마이드;1,2-헥산다이올;카카두플럼추출물;병풀추출물;아시아티코사이드;마데카소사이드;세라마이드엔피;얼룩파인애플추출물;파파야열매추출물;귀리가루추출물;락토바실러스/콩발효추출물;락토바실러스/쌀발효물;락토바실러스/인삼뿌리발효여과물;효모/율무씨발효여과물;효모/감자추출물발효여과물;소듐하이알루로네이트;하이드롤라이즈드하이알루로닉애씨드;동백나무씨오일;아시아틱애씨드;마데카식애씨드;리놀레익애씨드;락토바이오닉애씨드;소듐하이알루로네이트크로스폴리머;소듐아세틸레이티드하이알루로네이트;하이드로제네이티드레시틴;프로판다이올;소듐시트레이트;베타인;글리세린;시트릭애씨드;소듐폴리아크릴로일다이메틸타우레이트;하이드록시프로필트라이모늄하이알루로네이트;아데노신;펜틸렌글라이콜;카프릴릭/카프릭트라이글리세라이드;에틸헥실글리세린","22000","205ml","https://www.hwahae.co.kr/goods/%EC%BD%94%EC%8A%A4%EB%85%B8%EB%A6%AC-%ED%8C%90%ED%85%8C%EB%86%80-%EB%B2%A0%EB%A6%AC%EC%96%B4-%ED%86%A0%EB%84%88-205ml-2%EA%B0%9C%EC%9E%85/60295?goods_tab=review_ingredients","1.137931034482759"
"올리고 히알루론산 딥 토너","더랩바이블랑두","스킨/토너","보습","정제수;부틸렌글라이콜;1,2-헥산다이올;글리세린;베타-글루칸;베타인;소듐하이알루로네이트(2,700ppm);판테놀;솔비톨;아세틸글루코사민;글루쿠로닉애씨드;알란토인;토코페롤;에틸헥실글리세린;다이소듐이디티에이","23000","200ml","https://www.hwahae.co.kr/goods/%EB%8D%94%EB%9E%A9%EB%B0%94%EC%9D%B4%EB%B8%94%EB%9E%91%EB%91%90-%EC%98%AC%EB%A6%AC%EA%B3%A0-%ED%9E%88%EC%95%8C%EB%A3%A8%EB%A1%A0%EC%82%B0-%EB%94%A5-%ED%86%A0%EB%84%88-200ml/56188?goods_tab=review_ingredients","1.25"
"하이드라 셀 부스팅 토너","이플미","스킨/토너","보습","정제수;부틸렌글라이콜;글리세린;1,2-헥산다이올;하이드록시아세토페논;알란토인;카보머;알지닌;다이소듐이디티에이;녹차추출물;소듐하이알루로네이트;나이아신아마이드;하이알루로닉애씨드;하이드롤라이즈드소듐하이알루로네이트;하이드롤라이즈드하이알루로닉애씨드;하이드롤라이즈드글라이코사미노글리칸;리보플라빈;폴릭애씨드;판테놀;메나다이온;소듐하이알루로네이트크로스폴리머;소듐아세틸레이티드하이알루로네이트;다이메틸실란올하이알루로네이트;하이드록시프로필트라이모늄하이알루로네이트;바이오틴;사이아노코발아민;아스코빅애씨드;티아민에이치씨엘;피리독신;바이오플라보노이드","34000","400ml","https://www.hwahae.co.kr/goods/%EC%9D%B4%ED%94%8C%EB%AF%B8-%ED%95%98%EC%9D%B4%EB%93%9C%EB%9D%BC-%EC%85%80-%EB%B6%80%EC%8A%A4%ED%8C%85-%ED%86%A0%EB%84%88-400mlPLUS30ml/71966?goods_tab=review_ingredients","1.090909090909091"
"무알콜 뮤신 에센스 토너","비그린","스킨/토너","보습;진정","정제수;부틸렌글라이콜;글리세린;판테놀;1,2-헥산다이올;와일드얌뿌리추출물(7395ppm);카보머;알지닌;병풀잎수;펜틸렌글라이콜;소듐하이알루로네이트;소듐하이알루로네이트크로스폴리머;하이드롤라이즈드하이알루로닉애씨드;에틸헥실글리세린;하이알루로닉애씨드;하이드롤라이즈드소듐하이알루로네이트","17000","150ml","https://www.hwahae.co.kr/goods/%EB%B9%84%EA%B7%B8%EB%A6%B0-%EB%AC%B4%EC%95%8C%EC%BD%9C-%EB%AE%A4%EC%8B%A0-%EC%97%90%EC%84%BC%EC%8A%A4-%ED%86%A0%EB%84%88-150ml/65426?goods_tab=review_ingredients","1.071428571428571"
"어성초 77 수딩 토너","아누아","스킨/토너","보습;진정","약모밀꽃/잎/줄기수(77%);정제수;1,2-헥산다이올;글리세린;베타인;부틸렌글라이콜;아이소펜틸다이올;판테놀;아크릴레이트/C10-30알킬아크릴레이트크로스폴리머;트로메타민;병풀추출물;우엉뿌리추출물;진흙버섯추출물;쇠비름추출물;마트리카리아꽃추출물;체이스트트리추출물;소듐하이알루로네이트;하이드록시프로필트라이모늄하이알루로네이트;소듐아세틸레이티드하이알루로네이트;하이드롤라이즈드하이알루로닉애씨드;하이알루로닉애씨드;소듐하이알루로네이트크로스폴리머;포타슘하이알루로네이트;다이소듐이디티에이","45000","500ml","https://www.hwahae.co.kr/goods/%EC%95%84%EB%88%84%EC%95%84-%EC%96%B4%EC%84%B1%EC%B4%88-77-%EC%88%98%EB%94%A9-%ED%86%A0%EB%84%88-500ml/35620?goods_tab=review_ingredients","1.15"
"어성초 진정해 수분 토너","프리메이","스킨/토너","보습;진정;모공/피지","정제수;약모밀추출물;부틸렌글라이콜;다이프로필렌글라이콜;프로판다이올;1,2-헥산다이올;글리세린;하이드록시아세토페논;에틸헥실글리세린;카프릴릴글라이콜;폴리글리세릴-10라우레이트;폴리글리세릴-4라우레이트;카보머;알란토인;다이포타슘글리시리제이트;소듐파이테이트;소듐하이알루로네이트;병풀잎추출물;알지닌;살비아오일;마데카소사이드;제올라이트;루이보스잎추출물;마조람잎추출물;서양측백나무잎추출물;티트리잎추출물;로즈마리잎추출물;병풀추출물;살비아잎추출물;타임추출물;레몬밤잎추출물;히솝추출물;티트리추출물;작약뿌리추출물;녹차추출물","28000","350ml","https://www.hwahae.co.kr/goods/%ED%94%84%EB%A6%AC%EB%A9%94%EC%9D%B4-%EB%B9%84%EA%B1%B4-%EC%96%B4%EC%84%B1%EC%B4%88-%EC%A7%84%EC%A0%95%ED%95%B4-%EC%88%98%EB%B6%84-%ED%86%A0%EB%84%88-%EB%8D%94%EB%B8%94-%EA%B8%B0%ED%9A%8D%EC%84%B8%ED%8A%B8-350ml-PLUS-350ml/43201?goods_tab=review_ingredients","1.217391304347826"
"나인 토너","닥터트웬티프로젝트","스킨/토너","보습;진정;모공/피지","정제수;글리세린;2,3-부탄다이올;판테놀;다이프로필렌글라이콜;1,2-헥산다이올;하이드록시아세토페논;에리스리톨;베타인;트레할로오스;알란토인;에틸헥실글리세린;소듐하이알루로네이트;아크릴레이트/C10-30알킬아크릴레이트크로스폴리머;알지닌;다이소듐이디티에이;쑥위추출물;부틸렌글라이콜;포타슘하이알루로네이트;하이드롤라이즈드소듐하이알루로네이트;로즈마리잎추출물;자작나무수액;트루로즈오브예리코추출물;하이드롤라이즈드하이알루로닉애씨드;하이알루로닉애씨드","29000","300ml","https://www.hwahae.co.kr/goods/%EB%8B%A5%ED%84%B0%ED%8A%B8%EC%9B%AC%ED%8B%B0%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8-%EB%82%98%EC%9D%B8-%ED%86%A0%EB%84%88-300ml-1PLUS1/70460?goods_tab=review_ingredients","1.2"
"비피다 바이옴 앰플 토너","마녀공장","스킨/토너","보습;진정","정제수;부틸렌글라이콜;글리세린;프로판다이올;펜틸렌글라이콜;버지니아풍년화수;락토바실러스발효용해물;락토코쿠스발효용해물;락토바실러스/호박발효추출물;효모발효여과물;베타인;알란토인;판테놀;세라마이드엔피;하이알루로닉애씨드;하이드롤라이즈드하이알루로닉애씨드;하이드롤라이즈드글라이코사미노글리칸;소듐하이알루로네이트;소듐하이알루로네이트크로스폴리머;하이드로제네이티드레시틴;비피다발효여과물;비피다발효용해물;자일리톨;안하이드로자일리톨;자일리틸글루코사이드;글루코오스;1,2-헥산다이올;흰버드나무껍질추출물;락토바이오닉애씨드;사탕수수추출물;쿠티박테리움그라눌로숨발효추출여과물;프룩토오스;프룩토올리고사카라이드;카프릴릭/카프릭트라이글리세라이드;벤질글라이콜;토코페롤;에틸헥실글리세린;잔탄검;다이소듐이디티에이;아이리쉬모스추출물;클로렐라불가리스추출물","25000","400ml","https://www.hwahae.co.kr/goods/%EB%A7%88%EB%85%80%EA%B3%B5%EC%9E%A5-%EB%B9%84%ED%94%BC%EB%8B%A4-%EB%B0%94%EC%9D%B4%EC%98%B4-%EC%95%B0%ED%94%8C-%ED%86%A0%EB%84%88-400ml/35549?goods_tab=review_ingredients","1.137931034482759"
"리얼 히알루로닉 100 토너","웰라쥬","스킨/토너","보습;진정","하이드롤라이즈드하이알루로닉애씨드(932601.50052ppm);글리세린;프로판다이올;하이드로제네이티드레시틴;소듐하이알루로네이트(1.0052ppm);1,2-헥산다이올;알지닌;벤질글라이콜;베타인;부틸렌글라이콜;카프릴릭/카프릭트라이글리세라이드;시트릭애씨드;다이메틸실란올하이알루로네이트;다이소듐이디티에이;에틸헥실글리세린;글라이신;히스티딘;하이알루로닉애씨드(1.00001ppm);하이드롤라이즈드글라이코사미노글리칸(0.0056ppm);하이드롤라이즈드소듐하이알루로네이트(1.5ppm);하이드록시프로필트라이모늄하이알루로네이트(0.80012ppm);라이소레시틴;포타슘하이알루로네이트;세린;소듐아세틸레이티드하이알루로네이트(0.400002ppm);소듐시트레이트;소듐하이알루로네이트크로스폴리머(0.801ppm);소듐하이알루로네이트다이메틸실란올;소듐피씨에이;소듐스테아로일글루타메이트;수크로오스라우레이트;토코페롤;정제수;잔탄검","40000","400ml","https://www.hwahae.co.kr/goods/%EC%9B%B0%EB%9D%BC%EC%A5%AC-%EB%A6%AC%EC%96%BC-%ED%9E%88%EC%95%8C%EB%A3%A8%EB%A1%9C%EB%8B%89-100-%ED%86%A0%EB%84%88-200ml-2%EA%B0%9C%EC%9E%85/57154?goods_tab=review_ingredients","1.173913043478261"
"시카테롤 토너","비플레인","스킨/토너","보습;진정;모공/피지","정제수;프로판다이올;병풀추출물;1,2-헥산다이올;베타-시토스테롤","24000","200ml","https://www.hwahae.co.kr/goods/%EB%B9%84%ED%94%8C%EB%A0%88%EC%9D%B8-%EC%8B%9C%EC%B9%B4%ED%85%8C%EB%A1%A4-%ED%86%A0%EB%84%88-200mlx2%EA%B0%9C/53048?goods_tab=review_ingredients","1.25"
"세라마이드 아토 로션","일리윤","로션/에멀전","보습;진정","정제수;글리세린;프로판다이올;하이드로제네이티드쌀겨오일;사이클로펜타실록세인;하이드로제네이티드폴리(C6-14올레핀);사이클로헥사실록세인;다이메티콘;세틸에틸헥사노에이트;다이아이소스테아릴말레이트;1,2-헥산다이올;부틸렌글라이콜;하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머;C14-22알코올;아라키딜알코올;스테아릭애씨드;글리세릴스테아레이트;팔미틱애씨드;베헤닐알코올;C12-20알킬글루코사이드;.글리세릴카프릴레이트;아라키딜글루코사이드;인삼수;다이소듐이디티에이;에틸헥실글리세린;솔비탄아이소스테아레이트;폴리솔베이트60;들깨추출물;시호뿌리추출물;왜당귀뿌리추출물;소엽맥문동뿌리추출물;하이드록시프로필비스팔미타마이드엠이에이(세라마이드PC-10465.5ppm);만니톨;글루코오스;검정콩오일;미리스틱애씨드;아크릴레이트/암모늄메타크릴레이트코폴리머;아라키딕애씨드;세라마이드엔피(4ppm);콜레스테롤;실리카;피토스핑고신;하이드로제네이티드레시틴;토코페롤;카놀라오일;로즈마리잎추출물","26200","564ml","https://www.hwahae.co.kr/goods/%EC%9D%BC%EB%A6%AC%EC%9C%A4-%EC%84%B8%EB%9D%BC%EB%A7%88%EC%9D%B4%EB%93%9C-%EC%95%84%ED%86%A0-%EB%A1%9C%EC%85%98-350ml-%EB%8D%94%EB%B8%94%EA%B8%B0%ED%9A%8D-PLUS50mlPLUS%ED%81%AC%EB%A6%BC75ml-2%EA%B0%9C/58436?goods_tab=review_ingredients","1.285714285714286"
"MLE 로션","아토팜","로션/에멀전","보습;진정","정제수;카프릴릭/카프릭트라이글리세라이드;글리세린;부틸렌글라이콜;펜틸렌글라이콜;세테아릴알코올;펜타에리스리틸스테아레이트/카프레이트/카프릴레이트/아디페이트;호호바씨오일;폴리글리세릴-5스테아레이트;소듐하이알루로네이트;스테아릭애씨드;글리세릴스테아레이트;솔비탄스테아레이트;시어버터;하이드로제네이티드식물성오일;토코페롤;팔미토일팔미타마이드엠이에이;비스-카프릴로일옥시팔미타미도아이소프로판올;N-데카노일세린올;알란토인;약모밀추출물;류신;라이신;페닐알라닌;트레오닌;발린;피토스테롤;카보머;피토스테릴올리에이트;잔탄검;소듐파이테이트;알지닌;해바라기씨오일;살비아오일;소두구씨오일;베타-글루칸;광곽향오일;멕시칸주니퍼오일;두송열매오일;캐모마일꽃오일;1,2-헥산다이올;카프릴릭/카프릭글리세라이즈","50000","300ml","https://www.hwahae.co.kr/goods/%EC%95%84%ED%86%A0%ED%8C%9C-MLE-%EB%A1%9C%EC%85%98-300ml-2%EA%B0%9C%EC%9E%85/48482?goods_tab=review_ingredients","1.1"
"더 심플 데일리 로션","싸이닉","로션/에멀전","보습;진정","정제수;프로판다이올;펜틸렌글라이콜;비닐다이메티콘;글리세린;세틸에칠헥사노에이트;알바수련꽃추출물;알로에베라잎즙;부틸렌글라이콜;마데카소사이드;세테아릴올리베이트;카보머;솔비탄올리베이트;트로메타민;소듐하이알루로네이트","30000","300ml","https://www.hwahae.co.kr/goods/%EC%8B%B8%EC%9D%B4%EB%8B%89-%EB%8D%94-%EC%8B%AC%ED%94%8C-%EB%8D%B0%EC%9D%BC%EB%A6%AC-%EB%A1%9C%EC%85%98-%EB%8C%80%EC%9A%A9%EB%9F%89-%EA%B8%B0%ED%9A%8D%EC%84%B8%ED%8A%B8-260mlPLUS300ml/68145?goods_tab=review_ingredients","1.083333333333333"
"아토베리어365 로션","에스트라","로션/에멀전","보습;진정","정제수;부틸렌글라이콜;글리세린;다이메티콘;스쿠알란;펜타에리스리틸테트라아이소스테아레이트;베타인;폴리글리세릴-3메틸글루코오스다이스테아레이트;부틸렌글라이콜다이카프릴레이트/다이카프레이트;카프릴릭/카프릭트라이글리세라이드;팔미틱애씨드;1,2-헥산다이올;스테아릭애씨드;하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머;글리세릴스테아레이트;하이드록시프로필비스팔미타마이드엠이에이;글리세릴스테아레이트시트레이트;콜레스테롤;나이아신아마이드;다이메티콘올;하이드록시프로필비스라우라마이드엠이에이;베헤닐알코올;글리세릴카프릴레이트;카보머;다이소듐이디티에이;에틸헥실글리세린;트로메타민;솔비탄아이소스테아레이트;피토스핑고신;만니톨;세라마이드엔피;토코페롤;하이드로제네이티드레시틴;아크릴레이트/암모늄메타크릴레이트코폴리머;실리카;스핑고리피드;아라키딕애씨드;올레익애씨드","33000","150ml","https://www.hwahae.co.kr/goods/%EC%97%90%EC%8A%A4%ED%8A%B8%EB%9D%BC-1PLUS1-%EC%95%84%ED%86%A0%EB%B2%A0%EB%A6%AC%EC%96%B4365-%EB%A1%9C%EC%85%98-150ml%EA%B8%B0%ED%9A%8D-%EB%B3%B8%ED%92%88PLUS%EC%97%90%EC%84%BC%EC%8A%A425mlPLUS%EC%83%A4%EC%89%906%EB%A7%A4-PLUS%ED%81%AC%EB%A6%BC2%EA%B0%9C-%EC%A6%9D%EC%A0%95/72561?goods_tab=review_ingredients","1.2"
"1025 독도 로션","라운드랩","로션/에멀전","보습;진정","정제수;글리세린;퀸즈랜드넛오일;1,2-헥산다이올;펜틸렌글라이콜;호호바에스터;아이리쉬모스추출물;사탕수수추출물;해수;하이알루로닉애씨드;하이드롤라이즈드하이알루로닉애씨드;소듐하이알루로네이트;폴리글리세릴-3메틸글루코오스다이스테아레이트;글리세릴스테아레이트;하이드로제네이티드폴리데센;하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머;카프릴릴글라이콜;트로메타민;소듐파이테이트;판테놀;스쿠알란;부틸렌글라이콜;토코페롤;소듐카복시메틸베타-글루칸;에틸헥실글리세린;세테아릴알코올;카보머","20000","200ml","https://www.hwahae.co.kr/goods/%EB%9D%BC%EC%9A%B4%EB%93%9C%EB%9E%A9-1025-%EB%8F%85%EB%8F%84-%EB%A1%9C%EC%85%98-400ml/34795?goods_tab=review_ingredients","1.08695652173913"
