"제품명","브랜드명","카테고리","효능","전성분","가격","용량","링크","유해성_점수"
"진정한 수분크림","프리메이","크림","보습;진정","정제수;다이프로필렌글라이콜;글리세린;카프릴릭/카프릭트라이글리세라이드;메틸트라이메티콘;세틸에틸헥사노에이트;폴리글리세릴-3메틸글루코오스다이스테아레이트;메도우폼씨오일;밤부사불가리스추출물;베타인;하이드로제네이티드폴리아이소부텐;세테아릴알코올;폴리글리세릴-3스테아레이트;글리세릴스테아레이트;1,2-헥산다이올;트레할로오스;판테놀;알지닌;카보머;카프릴릴글라이콜;하이드록시아세토페논;하이드로제네이티드식물성글리세라이즈;폴리글리세릴-10라우레이트;아미노부티릭애씨드;폴리글리세릴-4라우레이트;소듐스테아로일락틸레이트;에틸헥실글리세린;부틸렌글라이콜;약모밀추출물;판토락톤;아데노신;서양배추출물;트라이소듐에틸렌다이아민다이석시네이트;다마스크장미꽃수;글리세릴글루코사이드;살비아오일;오리스뿌리추출물;멜론추출물;서양송악잎/줄기추출물;흰목이버섯폴리사카라이드;향부자추출물;판토테닉애씨드;서양민들레뿌리줄기/뿌리추출물;소엽잎추출물;소듐하이알루로네이트;마그네슘피씨에이;소듐피씨에이;칼슘피씨에이","28000","100ml","https://www.hwahae.co.kr/goods/%ED%94%84%EB%A6%AC%EB%A9%94%EC%9D%B4-%EC%A7%84%EC%A0%95%ED%95%9C-%EC%88%98%EB%B6%84%ED%81%AC%EB%A6%BC-100ml-%EB%8D%94%EB%B8%94-%EA%B8%B0%ED%9A%8D/61437?goods_tab=review_ingredients","1.121212121212121"
"어성초 히알루론 수딩 크림","구달","크림","보습;진정","정제수;글리세린;비닐다이메티콘;부틸렌글라이콜;카프릴릴메티콘;다이프로필렌글라이콜;1,2-헥산다이올;펜틸렌글라이콜;에리스리톨;자일리톨;어성초추출물(=약모밀추출물;6,501ppm);효모발효여과물;소듐하이알루로네이트(102.1ppm);편백오일;유칼립투스잎오일;하이드롤라이즈드하이알루로닉애씨드(0.15ppm);하이알루로닉애씨드(0.1ppm);칸디다봄비콜라/글루코오스/메틸레이프씨데이트발효물;포도씨오일;병풀잎추출물;산구절초추출물;해바라기씨오일;쇠비름추출물;에틸헥실팔미테이트;암모늄아크릴로일다이메틸타우레이트/브이피코폴리머;솔비톨;트로메타민;아크릴레이트/C10-30알킬아크릴레이트크로스폴리머;카프릴릭/카프릭트라이글리세라이드;에틸헥실글리세린;판테놀;하이드로제네이티드레시틴;소듐파이테이트;세라마이드엔피;베타-글루칸;다발방패버섯추출물;엑토인;셀룰로오스;폴리글루타믹애씨드;하이알루로닉애씨드/폴리아이소프로필아크릴아마이드코폴리머(1ppm);글리세릴카프릴레이트;다이메틸실란올하이알루로네이트(0.15ppm);하이드롤라이즈드소듐하이알루로네이트(0.15ppm);포타슘하이알루로네이트(0.1ppm);토코페롤;하이드록시프로필트라이모늄하이알루로네이트(0.08ppm);소듐하이알루로네이트크로스폴리머(0.08ppm);프로판다이올;소듐하이알루로네이트다이메틸실란올(0.05ppm);소듐아세틸레이티드하이알루로네이트(0.04ppm);폴리글리세릴-10아이소스테아레이트;폴리글리세릴-10올리에이트;스테아릭애씨드;세라마이드엔에스;콜레스테롤;피토스핑고신;세라마이드에이피;세라마이드에이에스;세라마이드이오피;카보머;세테아릴알코올","28000","75ml","https://www.hwahae.co.kr/goods/%EA%B5%AC%EB%8B%AC-%EC%96%B4%EC%84%B1%EC%B4%88-%ED%9E%88%EC%95%8C%EB%A3%A8%EB%A1%A0-%EC%88%98%EB%94%A9-%ED%81%AC%EB%A6%BC-75ml/61607?goods_tab=review_ingredients","1.081081081081081"
"인테카 수딩 크림","메이크프렘","크림","보습;진정","정제수;프로판다이올;글리세린;글리세릴글루코사이드;1,2-헥산다이올;카프릴릭/카프릭트라이글리세라이드;하이드로제네이티드폴리데센;나이아신아마이드;부틸렌글라이콜;솔비톨;세테아릴올리베이트;비닐다이메티콘;솔비탄올리베이트;카보머;칸디다봄비콜라/글루코오스/메틸레이프씨데이트발효물;해바라기씨오일;아시아티코사이드;아시아틱애씨드;마데카식애씨드;하이알루로닉애씨드;하이드롤라이즈드하이알루로닉애씨드;소듐하이알루로네이트;다이프로필렌글라이콜;글리세릴스테아레이트에스이;하이드로제네이티드레시틴;트로메타민;에틸헥실글리세린;아데노신;다이소듐이디티에이;에톡시다이글라이콜패드:정제수;프로판다이올;나이아신아마이드;다이프로필렌글라이콜;1,2-헥산다이올;자일리톨;폴리글리세릴-10라우레이트;칸디다봄비콜라/글루코오스/메틸레이프씨데이트발효물;부틸렌글라이콜;글루코노락톤;트로메타민;카보머;에틸헥실글리세린;아데노신;해바라기씨오일;알란토인;두충나무껍질추출물;아시아티코사이드;마데카식애씨드;아시아틱애씨드;에톡시다이글라이콜","32000","80ml","https://www.hwahae.co.kr/goods/%EB%A9%94%EC%9D%B4%ED%81%AC%ED%94%84%EB%A0%98-%EC%9D%B8%ED%85%8C%EC%B9%B4-%EC%88%98%EB%94%A9-%ED%81%AC%EB%A6%BC-80ml-%EA%B8%B0%ED%9A%8D%EC%84%B8%ED%8A%B8-%ED%81%AC%EB%A6%BC80mlPLUS31mlPLUS%ED%8C%A8%EB%93%9C-10EA/60843?goods_tab=review_ingredients","1.181818181818182"
"모이스춰 닥터 크림","아이소이","크림","보습;진정","정제수;글리세린;세틸에틸헥사노에이트;카프릴릭/카프릭트라이글리세라이드;베타인;마카다미아씨오일;소듐하이알루로네이트;하이드롤라이즈드하이알루로닉애씨드;하이알루로닉애씨드;소듐하이알루로네이트크로스폴리머;하이드롤라이즈드글라이코사미노글리칸;티트리잎추출물;쇠비름추출물;약모밀추출물(어성초추출물);판테놀;피토스핑고신;세라마이드엔피;알지닌;카보머;흰버드나무껍질추출물;오레가노잎추출물;편백잎추출물;락토바실러스/콩발효추출물;육계나무껍질추출물;잔탄검;솔비탄세스퀴올리에이트;자몽껍질오일;부틸렌글라이콜;1,2-헥산다이올;프로판다이올;포트마리골드꽃추출물;황금추출물;모란뿌리추출물;스페인감초뿌리추출물;하이드로제네이티드레시틴;리모넨","36000","70ml","https://www.hwahae.co.kr/goods/%EC%95%84%EC%9D%B4%EC%86%8C%EC%9D%B4-%EB%AA%A8%EC%9D%B4%EC%8A%A4%EC%B6%B0-%EB%8B%A5%ED%84%B0-%ED%81%AC%EB%A6%BC-70ml/42794?goods_tab=review_ingredients","1.192307692307692"
"밸런스풀 시카 진정 크림","토리든","크림","보습;진정","정제수;부틸렌글라이콜;글리세린;헵틸운데실레네이트;1,2-헥산다이올;판테놀(2,000ppm);병풀추출물;마데카식애씨드;아시아티코사이드(780ppb);아시아틱애씨드;마데카소사이드;알란토인;하이드롤라이즈드하이알루로닉애씨드;쓴풀추출물;푸른연꽃추출물;락토바실러스발효물;접시꽃추출물;잇꽃꽃추출물;베타인;카프릴릭/카프릭트라이글리세라이드;세테아릴알코올;프로판다이올;C14-22알코올;다이펩타이드-2;아크릴레이트/C10-30알킬아크릴레이트크로스폴리머;하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머;소듐폴리아크릴레이트;글리세릴아크릴레이트/아크릴릭애씨드코폴리머;피브이엠/엠에이코폴리머;솔비탄아이소스테아레이트;폴리글리세릴-3폴리리시놀리에이트;아이소펜틸다이올;카프릴로일살리실릭애씨드;C12-20알킬글루코사이드;폴리글리세릴-4올리에이트;소듐스테아로일글루타메이트;소듐서팩틴;카프로익애씨드;잔탄검;트로메타민;소듐아세테이트;다이소듐이디티에이;에틸헥실글리세린;치자추출물","24000","80ml","https://www.hwahae.co.kr/goods/%ED%86%A0%EB%A6%AC%EB%93%A0-%EB%B0%B8%EB%9F%B0%EC%8A%A4%ED%92%80-%EC%8B%9C%EC%B9%B4-%EC%A7%84%EC%A0%95-%ED%81%AC%EB%A6%BC-80ml/47542?goods_tab=review_ingredients","1.117647058823529"
"포어 더블 리커버리 바나티놀 크림","더레이디","크림","보습;진정;모공/피지","바나나수(660,000ppm);판테놀;프로판다이올;펜타에리스리틸테트라에틸헥사노에이트;글리세린;1,2-헥산다이올;부틸렌글라이콜;나이아신아마이드;다이카프릴릴카보네이트;에틸헥실스테아레이트;해바라기씨오일;아이소펜틸다이올;펜틸렌글라이콜;트라이에틸헥사노인;정제수;C14-22알코올;소듐폴리아크릴로일다이메틸타우레이트;아크릴레이트/C10-30알킬아크릴레이트크로스폴리머;세테아릴올리베이트;트로메타민;C12-20알킬글루코사이드;솔비탄올리베이트;오렌지껍질오일;메도우폼씨오일;알란토인;다이포타슘글리시리제이트;아보카도오일;트레할로오스;하이드로제네이티드레시틴;다이메틸아이소소바이드;아데노신;리씨열매오일;세테아릴알코올;에틸헥실글리세린;다이소듐이디티에이;트라넥사믹애씨드;스테아릭애씨드;글리세릴아크릴레이트/아크릴릭애씨드코폴리머;스테아릴알코올;약모밀추출물;황련추출물;하이드록시피나콜론레티노에이트;바나나꽃수;글리세릴스테아레이트에스이;바나나즙;바나나잎추출물;바나나껍질추출물;세라마이드엔피;다마스크장미꽃추출물;삼나무잎추출물;연꽃잎추출물;효모발효물;달맞이꽃추출물;대왕소나무잎추출물;칡뿌리추출물;당느릅나무뿌리추출물;병풀추출물;세라마이드엔에스;다이메틸실란올하이알루로네이트;하이드롤라이즈드하이알루로닉애씨드;하이드롤라이즈드소듐하이알루로네이트;콜레스테롤;하이알루로닉애씨드;피토스핑고신;포타슘하이알루로네이트;소듐하이알루로네이트;하이드록시프로필트라이모늄하이알루로네이트;소듐하이알루로네이트크로스폴리머;세라마이드에이피;세라마이드에이에스;소듐하이알루로네이트다이메틸실란올;소듐아세틸레이티드하이알루로네이트;할미꽃추출물;우스니아추출물;초피나무열매추출물;세라마이드이오피;시트랄;리모넨;리날룰","42000","50ml","https://www.hwahae.co.kr/products/%EB%8D%94%EB%A0%88%EC%9D%B4%EB%94%94-%ED%8F%AC%EC%96%B4-%EB%8D%94%EB%B8%94-%EB%A6%AC%EC%BB%A4%EB%B2%84%EB%A6%AC-%EB%B0%94%EB%82%98%ED%8B%B0%EB%86%80-%ED%81%AC%EB%A6%BC/2132043?goods_tab=review_ingredients","1.163265306122449"
"시카좀 카밍 워터 젤 크림","리프엠","크림","보습;진정","정제수;부틸렌글라이콜;글리세린;1,2-헥산다이올;하이드로제네이티드폴리데센;나이아신아마이드;판테놀;프로판다이올;베헤닐알코올;세테아릴알코올;비닐다이메티콘;카보머;세테아릴올리베이트;솔비탄올리베이트;트로메타민;폴리아크릴레이트-13;베타인;병풀추출물(767.4ppm);하이드로제네이티드폴리아이소부텐;황련뿌리추출물;에틸헥실글리세린;하이드롤라이즈드치자추출물;하이드롤라이즈드맥아추출물;하이드롤라이즈드삼색제비꽃추출물;다이소듐이디티에이;폴리글리세릴-10라우레이트;에틸헥실팔미테이트;알란토인;하이알루로닉애씨드;하이드롤라이즈드하이알루로닉애씨드;소듐하이알루로네이트;솔비탄아이소스테아레이트;덱스트린;약모밀추출물;병풀잎추출물(11ppm);치자추출물;병풀뿌리추출물(1ppm);프랑스해안송껍질추출물;밤부사불가리스잎추출물;아시아티코사이드(0.01ppm);아시아틱애씨드(0.01ppm);마데카소사이드(0.01ppm);마데카식애씨드(0.01ppm)","26000","100ml","https://www.hwahae.co.kr/goods/%EB%A6%AC%EB%B8%8C%EC%97%A0-%EC%8B%9C%EC%B9%B4%EC%A2%80-%EC%B9%B4%EB%B0%8D-%EC%9B%8C%ED%84%B0-%EC%A0%A4%ED%81%AC%EB%A6%BC-%EA%B8%B0%ED%9A%8D-%EB%B3%B8%ED%92%88-100mlPLUS20ml-%EC%8B%9C%EC%B9%B4%EC%A2%80-%ED%8C%A8%EB%93%9C-4%EB%A7%A4-PLUS%EC%A6%9D%EC%A0%95/65765?goods_tab=review_ingredients","1.178571428571429"
"시카플라스트 밤 B5+","라로슈포제","밤/멀티밤","보습;진정","정제수;부틸렌글라이콜;판테놀;스쿠알란;세테아릴알코올;1,2-헥산다이올;하이드로제네이티드폴리(C6-14올레핀);페닐트라이메티콘;다이아이소스테아릴말레이트;폴리글리세릴-10스테아레이트;하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머;아크릴레이트/C10-30알킬아크릴레이트크로스폴리머;글리세릴스테아레이트시트레이트;글리세릴스테아레이트;세테아릴글루코사이드;하이드로제네이티드레시틴;트로메타민;글리세린;카프릴릴글라이콜;폴리글리세릴-3메틸글루코오스다이스테아레이트;다이소듐이디티에이;에틸헥실글리세린;솔비탄아이소스테아레이트;마데카소사이드;아시아티코사이드;마데카식애씨드;아시아틱애씨드;글루코오스;녹차추출물;토코페롤","39000","100ml","https://www.hwahae.co.kr/products/%EB%9D%BC%EB%A1%9C%EC%8A%88%ED%8F%AC%EC%A0%9C-%EC%8B%9C%EC%B9%B4%ED%94%8C%EB%9D%BC%EC%8A%A4%ED%8A%B8-%EB%B0%A4-B5PLUS/2010052?goods_tab=review_ingredients","1.107142857142857"
"순정 판텐소사이드 10 시카 밤","에뛰드","밤/멀티밤","보습;진정","정제수;부틸렌글라이콜;판테놀;스쿠알란;세테아릴알코올;1,2-헥산다이올;하이드로제네이티드폴리(C614올레핀);페닐트라이메티콘;다이아이소스테아릴말레이트;폴리글리세릴-10스테아레이트;하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머;아크릴레이트/C10-30알킬아크릴레이트크로스폴리머;글리세릴스테아레이트시트레이트;글리세릴스테아레이트;세테아릴글루코사이드;하이드로제네이티드레시틴;트로메타민;글리세린;카프릴릴글라이콜;폴리글리세릴-3메틸글루코오스다이스테아레이트;다이소듐이디티에이;에틸헥실글리세린;솔비탄아이소스테아레이트;마데카소사이드;아시아티코사이드;마데카식애씨드;아시아틱애씨드;글루코오스;녹차추출물;토코페롤","25000","50ml","https://www.hwahae.co.kr/goods/%EC%97%90%EB%9B%B0%EB%93%9C-%EC%88%9C%EC%A0%95-%ED%8C%90%ED%85%90%EC%86%8C%EC%82%AC%EC%9D%B4%EB%93%9C-10-%EC%8B%9C%EC%B9%B4-%EB%B0%A4-50ml/70000?goods_tab=review_ingredients","1.107142857142857"
"콜라겐 앰플 스틱","싸이닉","밤/멀티밤","보습;주름/탄력","해바라기씨오일;폴리글리세릴-2트라이아이소스테아레이트;시어버터;폴리에틸렌;옥틸도데칸올;칸데릴라왁스;마이크로크리스탈린왁스;토코페릴아세테이트;스위트아몬드오일;다이아이소스테아릴말레이트;하이드롤라이즈드콜라겐;하이드롤라이즈드콜라겐추출물;지모뿌리추출물;화이트루핀씨추출물;아스타잔틴;판테놀;모나스커스추출물;풍선덩굴꽃/잎/덩굴추출물;올리브오일;녹차씨오일;동백나무씨오일;아르간커넬오일;퀸즈랜드넛오일;호호바씨오일;달맞이꽃오일;에키움플란타기네움씨오일;포도씨오일;알파-비사보롤;토코페롤;하이드로제네이티드폴리아이소부텐;드럼스틱씨오일;해바라기씨오일불검화물;정제수;부틸렌글라이콜;1,2-헥산다이올;하이드록시아세토페논;에틸헥실글리세린;데하이드로아세틱애씨드","22000","10g","https://www.hwahae.co.kr/goods/%EC%8B%B8%EC%9D%B4%EB%8B%89-%EC%BD%9C%EB%9D%BC%EA%B2%90-%EC%95%B0%ED%94%8C-%EC%8A%A4%ED%8B%B1-10g/28801?goods_tab=review_ingredients","1.133333333333333"
"MLE 크림 스틱 밤 ","아토팜","밤/멀티밤","보습","해바라기씨오일;세테아릴알코올;시어버터;폴리글리세릴-3비즈왁스;세레신;펜타에리스리틸스테아레이트/카프레이트/카프릴레이트/아디페이트;올리브오일;하이드로제네이티드식물성오일;다이머다이리놀레일다이머다이리놀리에이트;팔미토일팔미타마이드엠이에이;토코페롤;카프릴릴글라이콜;피토스테롤;이테야자열매오일;캐모마일꽃오일;살비아오일;정제수;단향오일;비스-카프릴로일옥시팔미타미도아이소프로판올;N-데카노일세린올;1,2-헥산다이올;판테놀;류신;라이신;페닐알라닌;트레오닌;발린","20000","10g","https://www.hwahae.co.kr/goods/%EC%95%84%ED%86%A0%ED%8C%9C-MLE-%ED%81%AC%EB%A6%BC-%EC%8A%A4%ED%8B%B1-%EB%B0%A4-10g-2%EA%B0%9C/58079?goods_tab=review_ingredients","1.0625"
"비자 시카 밤 ","이니스프리","밤/멀티밤","보습;진정","정제수;프로판다이올;글리세린;사이클로펜타실록세인;스쿠알란;사이클로헥사실록세인;세테아릴알코올;판테놀;1,2-헥산다이올;C12-16알코올;폴리솔베이트60;다이아이소스테아릴말레이트;하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머;팔미틱애씨드;아크릴레이트/C10-30알킬아크릴레이트크로스폴리머;하이드로제네이티드레시틴;트로메타민;세테아릴글루코사이드;비자나무씨오일;다이소듐이디티에이;솔비탄아이소스테아레이트;마데카소사이드;아시아티코사이드;마데카식애씨드;아시아틱애씨드;글루코오스","26000","40ml","https://www.hwahae.co.kr/goods/%EC%9D%B4%EB%8B%88%EC%8A%A4%ED%94%84%EB%A6%AC-%EB%B9%84%EC%9E%90-%EC%8B%9C%EC%B9%B4-%EB%B0%A4-40mL/50252?goods_tab=review_ingredients","1.173913043478261"
"나이아브라이트 콜라겐 링클케어 멀티밤","닥터오라클","밤/멀티밤","미백;주름/탄력","스쿠알란;카프릴릭/카프릭트라이글리세라이드;합성왁스;다이아이소스테아릴말레이트;비스-다이글리세릴폴리아실아디페이트-2;검양옻나무열매왁스;마이카;쌀겨왁스;실리카;실리카다이메틸실릴레이트;하이드로제네이티드쌀겨오일;에틸렌/프로필렌코폴리머;다이프로필렌글라이콜;글리세린;알파-비사보롤;정제수;트라이에톡시카프릴릴실레인;하이드로제네이티드레시틴;폴리글리세릴-10올리에이트;서양배추출물;복숭아추출물;데하이드로아세틱애씨드;아데노신;바닐라열매추출물;다마스크장미꽃수;녹차추출물;서양송악잎/줄기추출물;병풀추출물;마트리카리아꽃추출물;다이포타슘글리시리제이트;녹차씨오일;동백나무씨오일;알란토인;아르간커넬오일;아스코빅애씨드;에칠아스코빌에텔;하이알루로닉애씨드;하이드롤라이즈드콜라겐;하이드롤라이즈드소듐하이알루로네이트;글루타티온;석류씨오일;보검선인장씨오일;판테놀;나이아신아마이드;트라넥사믹애씨드;호호바씨오일;소듐하이알루로네이트;부틸렌글라이콜;1,2-헥산다이올","58000","20g","https://www.hwahae.co.kr/goods/%EB%8B%A5%ED%84%B0%EC%98%A4%EB%9D%BC%ED%81%B4-%EB%82%98%EC%9D%B4%EC%95%84%EB%B8%8C%EB%9D%BC%EC%9D%B4%ED%8A%B8-%EC%BD%9C%EB%9D%BC%EA%B2%90-%EB%A7%81%ED%81%B4%EC%BC%80%EC%96%B4-%EB%A9%80%ED%8B%B0%EB%B0%A4-20g/30936?goods_tab=review_ingredients","1.103448275862069"
"더블 세럼 올인원 멀티밤","달바","밤/멀티밤","미백;주름/탄력","해바라기씨오일;합성왁스;시어버터;옥틸도데칸올;폴리에틸렌;폴리글리세릴-2아이소스테아레이트/다이머다이리놀리에이트코폴리머;카프릴릭/카프릭트라이글리세라이드;토코페릴아세테이트;퀸즈랜드넛오일;호호바씨오일;스위트아몬드오일;모나스커스추출물;당근추출물;들깨잎추출물;병풀추출물;보리지추출물;사탕무뿌리추출물;참당귀추출물;캐모마일꽃추출물;포트마리골드꽃추출물;풍선덩굴꽃/잎/덩굴추출물;흰서양송로추출물;연꽃꽃추출물;장미추출물;커먼자스민추출물;지모뿌리추출물;나팔수선화추출물;마돈나백합비늘줄기추출물;블루플래그아이리스추출물;프리지어추출물;콜라겐추출물;동백나무씨오일;올리브오일;녹차씨오일;아르간커넬오일;비타민나무열매오일;에키움플란타기네움씨오일;돌콩오일;아보카도오일;달맞이꽃오일;마카다미아씨오일;마이크로크리스탈린왁스;알파-비사보롤;솔비탄세스퀴올리에이트;토코페롤;정제수;해바라기씨오일불검화물;세라마이드엔피;하이드롤라이즈드하이알루로닉애씨드;하이드로제네이티드폴리아이소부텐;부틸렌글라이콜;글루타티온;아스코빅애씨드;1,2-헥산다이올;글루코오스;만노오스;향료;데하이드로아세틱애씨드;시트랄;리날룰;시트로넬올;헥실신남알;리모넨","42000","10g","https://www.hwahae.co.kr/goods/%EB%8B%AC%EB%B0%94-%EB%8D%94%EB%B8%94-%EC%84%B8%EB%9F%BC-%EC%98%AC%EC%9D%B8%EC%9B%90-%EB%A9%80%ED%8B%B0%EB%B0%A4-10g/45635?goods_tab=review_ingredients","1.590909090909091"
"시카이드 밤","더하르나이","밤/멀티밤","보습","정제수;글리세린;부틸렌글라이콜;카프릴릭/카프릭트라이글리세라이드;펜타에리스리틸테트라에틸헥사노에이트;다이프로필렌글라이콜;세틸알코올;글리세릴스테아레이트;마이크로크리스탈린왁스;비즈왁스;시어버터;폴리솔베이트60;마카다미아씨오일;올리브오일;소듐하이알루로네이트;세라마이드엔피;티트리잎추출물;오레가노잎추출물;편백잎추출물;흰버드나무껍질추출물;락토바실러스/콩발효추출물;쇠비름추출물;육계나무껍질추출물;황금추출물;병풀추출물;마데카소사이드;마데카식애씨드;아시아티코사이드;아시아틱애씨드;바이오티노일헥사펩타이드-2아마이드;팔미틱애씨드;스테아릭애씨드;스테아릴알코올;아라키딜알코올;카프릴릴글라이콜;다이메티콘;알지닌;메틸프로판다이올;미리스틸알코올;카보머;옥틸도데칸올;하이드록시아세토페논;알란토인;토코페릴아세테이트;판테놀;글리세릴카프릴레이트;에틸헥실글리세린;잔탄검;하이드로제네이티드레시틴;1,2-헥산다이올;다이소듐이디티에이","29000","100ml","https://www.hwahae.co.kr/products/%EB%8D%94%ED%95%98%EB%A5%B4%EB%82%98%EC%9D%B4-%EC%8B%9C%EC%B9%B4%EC%9D%B4%EB%93%9C-%EB%B0%A4/2025176?goods_tab=review_ingredients","1.189189189189189"
"레드수딩 어드밴스드 릴리프밤","피지오겔","밤/멀티밤","보습","정제수;올리브오일;글리세린;펜틸렌글라이콜;오일팜오일;식물성오일;하이드로제네이티드레시틴;스쿠알란;베타인;팔미타마이드엠이에이;아세타마이드엠이에이;사코신;하이드록시에틸셀룰로오스;카보머;소듐카보머;잔탄검;토코페롤;다이소듐포스페이트;소듐포스페이트","36500","75ml","https://www.hwahae.co.kr/products/%ED%94%BC%EC%A7%80%EC%98%A4%EA%B2%94-%EB%A0%88%EB%93%9C%EC%88%98%EB%94%A9-%EC%96%B4%EB%93%9C%EB%B0%B4%EC%8A%A4%EB%93%9C-%EB%A6%B4%EB%A6%AC%ED%94%84%EB%B0%A4/2018002?goods_tab=review_ingredients","1.111111111111111"
